Timestamp,Event,Event_Start_Time,Event_End_Time
2025-09-03 11:18:46,face_obstruction,1756891120.8707154,1756891126.5622706,dmm_recording_20250903_111840.avi
2025-09-03 11:18:54,camera_obstruction,1756891126.4789388,1756891134.3705893,dmm_recording_20250903_111840.avi
2025-09-03 11:19:02,face_obstruction,1756891134.764907,1756891142.6624985,dmm_recording_20250903_111840.avi
2025-09-03 11:26:35,face_obstruction,1756891591.8854804,1756891595.247385,dmm_recording_20250903_112631.avi
2025-09-03 11:26:37,face_obstruction,1756891595.2373145,1756891597.2219303,dmm_recording_20250903_112631.avi
2025-09-03 11:26:39,camera_obstruction,1756891597.1218016,1756891599.5269737,dmm_recording_20250903_112631.avi
2025-09-03 11:26:44,yawning,1756891601.6459734,1756891604.629909,dmm_recording_20250903_112631.avi
2025-09-03 11:26:46,distraction,1756891600.093549,1756891606.9269264,dmm_recording_20250903_112631.avi
2025-09-03 11:26:48,face_obstruction,1756891607.0274906,1756891608.45496,dmm_recording_20250903_112631.avi
